gene.id	gene.name	cds.id	chr	chr.coding.start	chr.coding.end	cds.start	cds.end	length	strand
ENSG00000121879	PIK3CA	ENSP00000418145	3	116615	116677	1	63	63	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	116615	116966	1	352	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	117479	117688	353	562	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	119079	119329	563	813	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	121333	121578	814	1059	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	122292	122377	1060	1145	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	127384	127489	1146	1251	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	127975	128127	1252	1404	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	128220	128354	1405	1539	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	135999	136123	1540	1664	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	136985	137066	1665	1746	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	137360	137524	1747	1911	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	137738	137841	1912	2015	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	138775	138946	2016	2187	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	141870	141976	2188	2294	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	142489	142610	2295	2416	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	143751	143829	2417	2495	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	147061	147231	2496	2666	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	147793	147910	2667	2784	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	148014	148165	2785	2936	3207	1
ENSG00000121879	PIK3CA	ENSP00000263967	3	151883	152153	2937	3207	3207	1
ENSG00000121879	PIK3CA	ENSP00000417479	3	116615	116968	1	354	354	1
ENSG00000171121	KCNMB3	ENSP00000417091	3	184438	184499	1	62	522	-1
ENSG00000171121	KCNMB3	ENSP00000417091	3	168532	168723	63	254	522	-1
ENSG00000171121	KCNMB3	ENSP00000417091	3	162284	162482	255	453	522	-1
ENSG00000171121	KCNMB3	ENSP00000417091	3	157785	157853	454	522	522	-1
ENSG00000171121	KCNMB3	ENSP00000376451	3	162284	162482	249	447	828	-1
ENSG00000171121	KCNMB3	ENSP00000376451	3	168532	168779	1	248	828	-1
ENSG00000171121	KCNMB3	ENSP00000376451	3	160693	161073	448	828	828	-1
ENSG00000171121	KCNMB3	ENSP00000319370	3	168532	168723	69	260	840	-1
ENSG00000171121	KCNMB3	ENSP00000319370	3	162284	162482	261	459	840	-1
ENSG00000171121	KCNMB3	ENSP00000319370	3	168825	168892	1	68	840	-1
ENSG00000171121	KCNMB3	ENSP00000319370	3	160693	161073	460	840	840	-1
ENSG00000171121	KCNMB3	ENSP00000327866	3	168532	168723	63	254	834	-1
ENSG00000171121	KCNMB3	ENSP00000327866	3	162284	162482	255	453	834	-1
ENSG00000171121	KCNMB3	ENSP00000327866	3	160693	161073	454	834	834	-1
ENSG00000171121	KCNMB3	ENSP00000327866	3	184438	184499	1	62	834	-1
ENSG00000171121	KCNMB3	ENSP00000418536	3	168532	168723	3	194	774	-1
ENSG00000171121	KCNMB3	ENSP00000418536	3	162284	162482	195	393	774	-1
ENSG00000171121	KCNMB3	ENSP00000418536	3	176737	176738	1	2	774	-1
ENSG00000171121	KCNMB3	ENSP00000418536	3	160693	161073	394	774	774	-1
ENSG00000121864	ZNF639	ENSP00000417740	3	246083	246140	1	58	1458	1
ENSG00000121864	ZNF639	ENSP00000417740	3	247407	247517	59	169	1458	1
ENSG00000121864	ZNF639	ENSP00000417740	3	250778	250912	170	304	1458	1
ENSG00000121864	ZNF639	ENSP00000417740	3	251058	252211	305	1458	1458	1
ENSG00000121864	ZNF639	ENSP00000418870	3	246083	246140	1	58	649	1
ENSG00000121864	ZNF639	ENSP00000418870	3	247407	247517	59	169	649	1
ENSG00000121864	ZNF639	ENSP00000418870	3	250778	250912	170	304	649	1
ENSG00000121864	ZNF639	ENSP00000418870	3	251058	251402	305	649	649	1
ENSG00000121864	ZNF639	ENSP00000418628	3	246083	246140	1	58	412	1
ENSG00000121864	ZNF639	ENSP00000418628	3	247407	247517	59	169	412	1
ENSG00000121864	ZNF639	ENSP00000418628	3	250778	250912	170	304	412	1
ENSG00000121864	ZNF639	ENSP00000418628	3	251058	251165	305	412	412	1
ENSG00000121864	ZNF639	ENSP00000325634	3	246083	246140	1	58	1458	1
ENSG00000121864	ZNF639	ENSP00000325634	3	247407	247517	59	169	1458	1
ENSG00000121864	ZNF639	ENSP00000325634	3	250778	250912	170	304	1458	1
ENSG00000121864	ZNF639	ENSP00000325634	3	251058	252211	305	1458	1458	1
ENSG00000121864	ZNF639	ENSP00000419650	3	246083	246140	1	58	865	1
ENSG00000121864	ZNF639	ENSP00000419650	3	247407	247517	59	169	865	1
ENSG00000121864	ZNF639	ENSP00000419650	3	250778	250912	170	304	865	1
ENSG00000121864	ZNF639	ENSP00000419650	3	251058	251618	305	865	865	1
ENSG00000121864	ZNF639	ENSP00000418766	3	246083	246140	1	58	1458	1
ENSG00000121864	ZNF639	ENSP00000418766	3	247407	247517	59	169	1458	1
ENSG00000121864	ZNF639	ENSP00000418766	3	250778	250912	170	304	1458	1
ENSG00000121864	ZNF639	ENSP00000418766	3	251058	252211	305	1458	1458	1
ENSG00000121864	ZNF639	ENSP00000417232	3	246083	246140	1	58	390	1
ENSG00000121864	ZNF639	ENSP00000417232	3	247407	247517	59	169	390	1
ENSG00000121864	ZNF639	ENSP00000417232	3	250778	250912	170	304	390	1
ENSG00000121864	ZNF639	ENSP00000417232	3	251058	251143	305	390	390	1
ENSG00000171109	MFN1	ENSP00000420617	3	266641	266752	1	112	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	269689	269824	113	248	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	276629	276791	249	411	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	280147	280271	412	536	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	282086	282194	537	645	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	282907	283014	646	753	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	285228	285381	754	907	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	285825	285892	908	975	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	293009	293130	976	1097	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	294831	294957	1098	1224	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	295133	295237	1225	1329	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	296130	296232	1330	1432	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	296374	296603	1433	1662	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	303358	303510	1663	1815	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	304222	304418	1816	2012	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	307793	307927	2013	2147	2226	1
ENSG00000171109	MFN1	ENSP00000420617	3	309770	309848	2148	2226	2226	1
ENSG00000171109	MFN1	ENSP00000419134	3	266641	266752	1	112	464	1
ENSG00000171109	MFN1	ENSP00000419134	3	269689	269824	113	248	464	1
ENSG00000171109	MFN1	ENSP00000419134	3	276629	276791	249	411	464	1
ENSG00000171109	MFN1	ENSP00000419134	3	280147	280199	412	464	464	1
ENSG00000171109	MFN1	ENSP00000263969	3	269689	269824	113	248	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	276629	276791	249	411	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	280147	280271	412	536	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	282086	282194	537	645	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	282907	283014	646	753	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	285228	285381	754	907	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	285825	285892	908	975	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	293009	293130	976	1097	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	294831	294957	1098	1224	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	295133	295237	1225	1329	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	296130	296232	1330	1432	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	296374	296603	1433	1662	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	303358	303510	1663	1815	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	304222	304418	1816	2012	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	307793	307927	2013	2147	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	266641	266752	1	112	2226	1
ENSG00000171109	MFN1	ENSP00000263969	3	309770	309848	2148	2226	2226	1
ENSG00000171109	MFN1	ENSP00000420148	3	282086	282194	96	204	372	1
ENSG00000171109	MFN1	ENSP00000420148	3	282907	283014	205	312	372	1
ENSG00000171109	MFN1	ENSP00000420148	3	280177	280271	1	95	372	1
ENSG00000171109	MFN1	ENSP00000420148	3	285228	285287	313	372	372	1
ENSG00000171109	MFN1	ENSP00000419926	3	280147	280271	1	125	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	282086	282194	126	234	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	282907	283014	235	342	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	285228	285381	343	496	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	285825	285892	497	564	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	293009	293130	565	686	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	294831	294957	687	813	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	295133	295237	814	918	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	303358	303510	919	1071	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	304222	304418	1072	1268	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	307793	307927	1269	1403	1482	1
ENSG00000171109	MFN1	ENSP00000419926	3	309770	309848	1404	1482	1482	1
ENSG00000171109	MFN1	ENSP00000280653	3	266641	266752	1	112	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	269689	269824	113	248	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	276629	276791	249	411	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	280147	280271	412	536	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	282086	282194	537	645	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	282907	283014	646	753	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	285228	285381	754	907	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	285825	285892	908	975	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	293009	293130	976	1097	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	294831	294957	1098	1224	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	295133	295237	1225	1329	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	303358	303510	1330	1482	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	304222	304418	1483	1679	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	307793	307927	1680	1814	1893	1
ENSG00000171109	MFN1	ENSP00000280653	3	309770	309848	1815	1893	1893	1
ENSG00000114450	GNB4	ENSP00000232564	3	343933	343989	1	57	1023	-1
